po_item_id,po_id,product_id,quantity_ordered,quantity_received,unit_cost
112,42,1,469,454,12.43
113,42,198,7950,7824,9.86
114,43,58,363,349,9.49
115,43,123,6475,6358,15.37
116,43,9,1060,1012,29.28
117,43,196,387,368,61.87
118,43,53,23850,23775,12.89
119,44,176,153,146,15.31
120,44,135,7400,7066,25.65
121,45,43,9650,9403,8.54
122,45,25,9225,9087,25.73
123,45,71,181,172,157.66
124,45,107,1630,1597,15.47
125,45,14,860,817,388.27
126,46,146,476,454,225.48
127,46,116,4600,4516,214.77
128,47,162,10750,10716,7.57
129,47,92,262,259,15.46
130,47,9,4560,4493,29.28
131,48,83,8000,7616,28.97
132,48,114,2150,2132,17.9
133,48,85,445,443,11.5
134,48,78,1575,1503,5.83
135,48,59,2105,2024,212.9
136,49,30,1480,1444,14.99
137,49,172,8850,8659,46.75
138,49,106,7050,6894,28.01
139,49,81,3350,3252,73.37
140,50,13,233,229,77.02
141,51,153,3375,3339,25.0
142,51,69,8275,8027,58.25
143,51,166,11100,10909,45.21
144,51,22,1615,1614,82.63
145,52,24,3310,3308,92.28
146,52,164,1080,1071,16.58
147,52,135,13050,12896,24.28
148,53,14,3610,3472,383.14
149,53,148,16450,15803,10.62
150,53,18,11050,10801,63.78
151,53,137,431,414,26.52
152,54,13,253,240,77.02
153,54,63,1675,1673,13.25
154,54,151,1775,1687,462.07
155,54,80,2975,2974,260.72
156,55,124,5075,5071,35.6
157,55,141,159,157,50.2
158,55,84,305,301,14.64
159,56,167,490,466,40.03
160,56,199,1160,1111,79.26
161,56,173,1850,1791,13.01
162,57,131,169,162,23.83
163,57,196,203,193,64.29
164,57,129,1270,1242,29.19
165,57,59,805,794,193.37
166,57,80,10500,10145,257.83
167,58,71,299,296,180.66
168,58,101,20150,19850,56.71
169,58,160,469,466,441.79
170,58,146,354,347,235.44
171,59,13,245,233,77.02
172,60,6,1140,1133,26.07
173,61,134,494,472,10.44
174,61,143,22200,21341,72.91
175,61,3,9600,9527,251.97
176,61,96,2750,2699,8.89
177,62,81,2060,2011,73.37
178,62,11,10650,10405,17.56
179,62,21,3150,3043,70.86
180,62,121,4070,3911,26.43
181,63,65,1390,1372,68.45
182,64,71,163,158,180.66
183,64,143,22600,21915,72.91
184,64,10,1170,1131,24.05
185,64,134,293,286,10.44
186,64,199,375,366,83.88
187,65,107,2540,2476,16.56
188,65,34,2230,2196,70.78
189,65,153,11000,10524,25.0
190,66,134,299,289,10.44
191,66,143,17100,16412,72.91
192,66,199,1825,1824,83.88
193,66,175,318,306,448.36
194,66,96,4300,4142,8.89
195,67,128,10000,9962,10.48
196,67,169,475,453,9.22
197,67,140,261,253,30.57
198,67,198,5700,5469,10.61
199,68,133,2220,2142,10.72
200,68,144,5725,5615,32.48
201,68,88,11525,11203,27.72
202,69,6,360,358,28.63
203,69,173,1690,1622,13.01
204,70,50,4370,4310,21.7
205,70,64,930,888,15.1
206,70,166,3850,3704,45.21
207,71,135,24700,24493,24.28
208,71,41,985,936,32.14
209,71,62,10125,10025,9.38
210,71,96,10300,10016,9.46
211,71,156,1525,1474,369.62
212,72,102,154,150,26.84
213,72,39,2170,2089,10.86
214,72,88,7425,7285,29.64
215,72,164,610,600,17.87
216,72,144,9800,9319,31.16
217,73,154,15950,15187,327.18
218,73,102,137,130,26.84
219,73,144,3800,3759,31.16
220,73,185,1830,1763,13.59
221,73,88,7200,7075,29.64
222,74,192,12400,12189,22.88
223,75,130,2950,2845,24.8
224,75,74,3820,3702,343.8
225,75,58,244,238,8.93
226,76,112,2980,2960,25.75
227,77,181,725,695,94.69
228,77,63,7100,6944,13.25
229,77,80,10350,9843,260.72
230,77,13,176,175,77.02
231,77,151,1030,995,462.07
232,78,191,5675,5585,16.54
233,78,26,231,226,540.82
234,79,6,955,946,26.07
235,79,168,18500,17813,259.48
236,80,121,3340,3331,26.43
237,80,15,4125,3950,27.06
238,80,133,1255,1233,10.64
239,80,106,4700,4636,28.01
240,81,153,6575,6325,23.08
241,81,24,1280,1243,96.11
242,81,71,209,208,180.66
243,81,160,218,211,441.79
244,81,10,1170,1123,24.05
245,82,123,8175,8045,16.8
246,82,155,7650,7597,283.57
247,83,126,2700,2699,194.4
248,83,50,4440,4250,21.7
249,83,166,16950,16879,45.21
250,84,163,16750,16358,21.82
251,84,88,10450,9989,27.72
252,84,19,5300,5257,218.68
253,85,147,4410,4259,17.21
254,85,124,6525,6512,35.6
255,86,61,431,429,23.36
256,86,27,1880,1873,47.47
257,86,176,190,181,16.47
258,87,107,1170,1122,14.69
259,87,72,440,439,20.67
260,88,192,18000,17610,23.92
261,88,28,168,164,412.12
262,88,158,8400,8268,10.48
263,88,175,233,222,417.99
264,88,82,22450,21862,13.19
265,89,200,20700,20337,20.28
266,89,166,7200,7146,51.18
267,89,145,1505,1465,19.59
268,89,75,1330,1276,21.94
269,89,185,330,320,12.92
270,90,20,1305,1254,303.13
271,91,83,2075,1989,28.97
272,91,78,1370,1360,5.83
273,92,8,5400,5364,99.83
274,92,107,1760,1709,14.69
275,92,142,22350,21279,10.48
276,92,56,426,422,37.68
277,93,150,363,361,23.84
278,93,176,342,335,15.31
279,93,54,318,312,29.28
280,94,80,7025,6834,263.09
281,95,34,1575,1538,80.71
282,96,37,2480,2419,221.02
283,97,136,995,967,22.12
284,98,191,7150,6852,18.65
285,98,194,10000,9806,14.5
286,98,196,77,75,61.87
287,99,81,4740,4656,74.7
288,99,129,480,473,33.07
289,100,176,448,438,15.46
290,101,196,251,243,61.87
291,101,9,2800,2663,29.28
292,101,147,2820,2762,16.96
293,101,136,2070,2059,22.87
294,101,17,14100,13458,47.49
295,102,43,2400,2293,8.7
296,102,88,7000,6871,27.72
297,103,26,422,417,479.94
298,104,151,1215,1187,520.09
299,104,93,3600,3558,37.58
300,104,167,1105,1080,40.03
301,104,54,387,384,28.62
302,104,49,133,132,27.99
303,105,93,13200,12743,37.58
304,105,100,2115,2090,97.63
305,106,150,370,354,23.84
306,106,65,585,583,71.44
307,106,120,255,250,86.74
308,106,54,179,170,29.28
309,107,159,328,324,22.01
310,107,128,9025,8972,10.36
311,107,85,855,821,11.09
312,107,90,9675,9421,380.71
313,108,176,90,88,15.31
314,108,180,265,254,7.28
315,108,74,3300,3180,394.06
316,108,120,1855,1813,86.74
317,109,1,144,137,12.43
318,109,157,3840,3715,56.6
319,110,109,9775,9568,28.45
320,110,185,1790,1727,12.92
321,111,151,525,509,462.07
322,112,7,18100,17793,14.89
323,112,156,10200,9993,367.7
324,113,82,14150,13972,13.19
325,113,67,2340,2331,41.03
326,113,192,4850,4793,23.92
327,113,197,2150,2082,24.06
328,113,162,6100,6045,6.73
329,114,195,83,80,84.86
330,114,166,5900,5640,50.54
331,114,2,12250,11805,24.42
332,114,121,3190,3096,26.43
333,115,68,3630,3459,50.9
334,115,65,1710,1686,68.45
335,116,19,7425,7322,218.68
336,116,173,3590,3578,14.19
337,116,43,10275,9908,8.7
338,116,66,3610,3582,496.9
339,116,26,182,177,479.94
340,117,24,1160,1137,96.11
341,117,146,304,296,235.44
342,117,3,9325,9090,251.97
343,117,10,4630,4440,24.05
344,117,123,9050,8702,14.67
345,118,20,250,238,342.23
346,118,198,7200,7065,9.86
347,118,189,1100,1085,66.02
348,119,86,261,248,98.88
349,119,167,1145,1119,42.95
350,119,24,3760,3611,92.28
351,119,91,3770,3619,14.36
352,119,169,970,933,8.61
353,120,189,2030,1979,60.14
354,121,38,2700,2657,18.7
355,121,10,2240,2172,24.05
356,121,71,341,334,180.66
357,122,168,7450,7200,237.77
358,123,155,14750,14688,283.57
359,123,148,22900,21795,11.11
360,123,168,5950,5795,237.77
361,124,141,221,215,50.2
362,124,26,466,452,478.02
363,124,147,4300,4097,17.21
364,124,99,7900,7623,81.94
365,125,166,16200,15405,51.18
366,125,193,3450,3395,16.02
367,125,103,11475,11426,24.65
368,126,120,630,607,76.0
369,126,11,3250,3142,17.22
370,126,137,242,237,26.52
371,127,67,2490,2388,41.03
372,127,175,109,108,417.99
373,127,36,10850,10474,19.39
374,127,19,12225,11805,243.22
375,127,192,3300,3179,23.92
376,128,43,12475,11999,8.39
377,129,185,800,781,12.92
378,129,109,3475,3320,28.45
379,129,165,451,429,15.48
380,129,145,765,761,19.59
381,130,196,62,61,64.29
382,130,131,306,293,23.83
383,130,164,1120,1115,18.54
384,130,140,425,422,30.57
385,131,163,6150,6079,21.82
386,131,43,2500,2477,8.7
387,131,139,3140,3089,55.83
388,132,36,10500,9994,19.39
389,132,197,2480,2444,24.06
390,133,97,52,50,39.35
391,133,118,360,354,19.38
392,133,6,1770,1758,26.07
393,133,178,220,214,155.92
394,133,122,73,69,82.73
395,134,67,3450,3408,45.54
396,134,50,3770,3749,21.7
397,134,22,1070,1027,82.63
398,135,88,8050,7775,27.72
399,135,43,6875,6761,8.7
400,135,131,189,180,23.01
401,136,139,570,568,51.6
402,136,87,16800,16391,206.15
403,136,81,1550,1514,74.7
404,137,94,188,179,21.45
405,137,83,10250,10149,28.97
406,137,11,17150,16502,17.22
407,137,7,4300,4151,14.89
408,137,138,2230,2178,490.35
409,138,69,1600,1557,52.52
410,139,97,246,234,39.35
411,140,141,141,138,51.44
412,140,58,353,346,8.93
413,140,111,10075,9923,20.45
414,140,13,365,353,85.04
415,141,18,10375,10249,63.7
416,141,39,2320,2265,11.69
417,141,112,4360,4308,25.75
418,142,26,97,96,540.82
419,142,16,2035,1980,31.3
420,142,125,1415,1366,109.38
421,142,171,9475,9337,90.86
422,142,37,2880,2803,221.02
423,143,141,490,487,51.44
424,143,110,9100,9060,211.14
425,144,111,10200,10157,20.45
426,144,74,2190,2166,343.8
427,144,11,10800,10504,17.77
428,144,4,650,619,22.61
429,145,170,1475,1435,8.21
430,146,98,2215,2142,12.24
431,146,57,344,328,14.51
432,147,133,2340,2306,10.64
433,148,149,3340,3281,370.65
434,149,189,2550,2497,66.02
435,149,1,172,168,12.43
436,149,195,330,316,84.06
437,149,92,296,286,15.27
438,149,182,224,215,69.48
439,150,23,22550,22527,14.24
440,150,157,3400,3363,56.39
441,150,109,8200,8074,28.45
442,150,121,1380,1356,25.29
443,150,178,89,87,138.53
444,151,72,299,285,20.67
445,151,44,355,345,18.62
446,151,180,1670,1594,7.07
447,151,169,1385,1327,8.92
448,151,179,6425,6126,10.65
449,152,39,2220,2200,11.0
450,153,182,380,373,69.48
451,153,161,96,92,18.97
452,153,189,1210,1203,66.02
453,154,95,3880,3714,396.39
454,155,83,6225,6105,25.84
455,155,21,6950,6670,70.86
456,155,133,1990,1977,10.64
457,155,95,2030,1986,396.39
458,155,138,3970,3831,478.15
459,156,43,2375,2325,8.39
460,156,143,18150,18137,72.91
461,156,96,12800,12702,8.89
462,156,146,486,468,235.44
463,157,94,77,73,21.45
464,157,148,16800,16649,10.62
465,157,138,2330,2226,490.35
466,158,89,13550,13348,13.05
467,159,196,414,401,61.87
468,159,191,6125,5952,18.65
469,159,58,158,155,9.49
470,159,147,2930,2803,16.96
471,160,133,2405,2395,10.72
472,160,96,24000,23300,8.93
473,160,26,197,196,479.94
474,160,55,3930,3758,23.82
475,160,139,550,524,55.83
476,161,131,419,416,23.83
477,162,83,2325,2224,28.97
478,162,148,23100,22425,10.62
479,162,137,283,281,26.52
480,162,14,4060,3979,383.14
481,163,154,7100,6906,355.29
482,163,149,2670,2610,375.72
483,163,182,280,271,69.48
484,163,189,1650,1582,66.02
485,164,52,8625,8408,70.71
486,164,59,2120,2039,204.18
487,164,167,1530,1474,40.03
488,164,144,8225,8050,31.61
489,164,171,1675,1673,102.56
490,165,163,20500,19852,21.54
491,165,118,1735,1690,19.81
492,165,69,10075,9611,55.48
493,165,59,2115,2086,193.37
494,165,51,489,488,9.78
495,166,163,15700,14976,21.82
496,166,110,18100,17275,185.68
497,166,131,291,285,23.01
498,167,98,1870,1826,12.24
499,168,112,3630,3458,23.81
500,168,103,5625,5494,25.16
501,168,65,275,267,71.44
502,168,150,312,310,23.84
503,168,48,1715,1692,268.02
504,169,111,11450,11046,20.45
505,169,84,675,642,14.18
506,169,13,355,350,85.04
507,169,125,2110,2087,98.6
508,170,61,372,362,23.36
509,170,31,3400,3327,12.84
510,170,119,3860,3858,310.42
511,171,80,4900,4773,263.09
512,171,192,5700,5559,22.88
513,171,93,24250,23987,37.58
514,171,59,895,856,204.18
515,171,144,4825,4650,31.61
516,172,186,10725,10248,135.85
517,172,96,6950,6918,8.93
518,172,19,10700,10245,218.68
519,173,32,4630,4439,34.9
520,173,124,11250,11081,38.74
521,173,48,1490,1428,268.02
522,173,65,1600,1588,71.44
523,174,3,3100,3037,251.97
524,174,199,2350,2250,83.88
525,174,24,3030,2992,96.11
526,175,181,855,840,94.69
527,175,151,2105,2066,462.07
528,175,63,3925,3842,13.25
529,175,80,12025,11631,260.72
530,176,195,76,72,84.06
531,176,92,254,247,15.27
532,176,1,293,289,12.43
533,177,6,1220,1200,26.07
534,177,81,2490,2424,74.7
535,177,139,1240,1210,51.6
536,177,150,272,258,24.99
537,177,97,458,445,39.35
538,178,13,399,398,86.46
539,178,190,4950,4929,20.82
540,178,35,18800,18192,480.8
541,179,189,3830,3802,60.32
542,179,28,221,212,412.12
543,179,36,11500,10981,19.39
544,179,162,9625,9424,6.73
545,180,148,21650,20829,11.11
546,180,113,394,385,24.45
547,180,103,3725,3635,24.0
548,180,53,19800,19493,13.86
549,181,86,330,313,98.88
550,181,193,540,535,14.01
551,182,9,3180,3037,32.35
552,182,26,278,268,540.82
553,182,37,4210,4059,221.02
554,182,44,148,140,17.2
555,183,193,790,787,14.01
556,183,169,1930,1919,8.61
557,183,135,8050,8030,24.28
558,183,164,1880,1797,16.58
559,183,62,2775,2648,9.38
560,184,95,2420,2378,396.39
561,184,172,19050,18636,46.75
562,184,21,3600,3581,70.86
563,184,121,4060,3894,26.43
564,184,166,10000,9733,50.54
565,185,112,2820,2809,23.81
566,186,115,4040,4020,15.37
567,186,14,4440,4388,388.27
568,186,102,181,173,25.47
569,187,83,6125,5937,28.97
570,187,94,80,77,21.45
571,187,53,23300,22443,13.88
572,188,101,15050,15034,51.72
573,188,33,7600,7451,9.8
574,188,152,141,138,29.73
575,188,85,525,502,11.09
576,189,39,1820,1787,11.69
577,189,33,13800,13603,9.8
578,189,125,510,485,112.63
579,189,81,860,841,78.5
580,190,151,295,293,520.09
581,190,192,6300,6190,22.88
582,190,100,250,249,97.63
583,191,171,3175,3127,90.86
584,191,44,250,244,17.2
585,191,64,3130,3084,15.3
586,191,9,4440,4326,32.35
587,192,123,12050,11885,16.8
588,192,149,4650,4600,370.65
589,192,141,326,313,53.45
590,192,155,12300,12271,283.57
591,193,28,324,322,412.12
592,194,24,3990,3850,103.23
593,194,65,390,382,71.44
594,194,16,1905,1818,29.6
595,195,22,455,451,82.63
596,195,177,439,433,5.39
597,195,166,19050,18290,45.21
598,195,82,16650,15850,12.61
599,195,89,12300,12091,13.05
600,196,115,1040,1020,15.37
601,196,172,11650,11350,53.58
602,196,106,18650,18125,25.93
603,197,18,1700,1631,65.27
604,197,86,418,417,108.92
605,198,68,2490,2373,53.54
606,198,79,1630,1600,12.88
607,199,154,23850,23625,355.29
608,199,157,580,552,56.6
609,199,149,780,754,375.72
610,199,182,419,398,69.48
611,200,141,463,454,50.2
612,201,152,397,394,29.73
613,201,64,3240,3102,15.1
614,201,107,3460,3327,16.56
615,201,89,4300,4092,13.05
616,201,67,1220,1188,45.54
617,202,109,9150,8713,28.45
618,203,57,138,135,14.51
619,203,56,207,205,37.68
620,204,21,9050,8674,70.86
621,205,28,468,447,394.63
622,206,153,11475,11254,25.91
623,206,136,410,405,22.12
624,206,193,2680,2591,16.02
625,206,78,2385,2382,5.88
626,207,64,1110,1108,15.3
627,207,9,3440,3361,32.35
628,207,44,214,212,17.2
629,207,16,2280,2190,31.3
630,208,13,138,133,85.04
631,209,64,1220,1205,15.3
632,210,80,8325,7977,260.72
633,210,151,870,866,462.07
634,211,121,1010,999,26.43
635,212,190,22400,21456,20.82
636,212,56,500,487,35.19
637,212,93,2650,2518,40.08
638,212,2,2375,2340,22.9
639,212,178,353,351,156.72
640,213,105,11575,11454,30.41
641,213,168,14650,14424,237.77
642,213,147,1550,1483,17.39
643,213,1,188,183,11.12
644,214,43,3475,3407,8.7
645,214,139,690,676,55.83
646,214,173,4170,4065,14.19
647,214,58,95,93,9.23
648,215,16,1320,1254,29.6
649,215,7,8500,8156,16.91
650,215,170,1605,1603,7.31
651,216,85,2455,2425,11.09
652,216,172,16300,15898,52.18
653,216,190,14350,14185,21.52
654,216,128,9675,9291,10.36
655,216,40,1925,1847,62.61
656,217,81,4820,4812,73.37
657,217,138,2920,2846,478.15
658,218,18,1800,1714,65.27
659,218,48,1180,1137,299.5
660,219,110,18250,18072,185.68
661,219,96,21900,21301,8.93
662,219,134,103,101,9.22
663,220,33,6500,6430,9.8
664,220,152,298,290,29.73
665,220,128,2150,2138,10.36
666,220,18,10475,10184,63.7
667,220,39,1730,1671,11.69
668,221,198,4175,4128,9.86
669,221,92,216,207,15.27
670,222,196,495,475,61.87
671,222,191,4050,3862,18.65
672,223,58,77,76,9.49
673,223,191,3100,2978,18.65
674,223,102,362,352,29.25
675,223,77,1240,1201,27.57
676,223,162,7100,7000,7.57
677,224,28,153,147,441.03
678,224,110,3300,3249,185.68
679,224,58,80,77,9.23
680,225,154,14200,13786,327.18
681,226,63,5025,4925,13.25
682,226,80,11350,11233,260.72
683,226,151,1815,1806,462.07
684,227,123,12175,11706,15.37
685,227,194,13000,12907,14.5
686,227,17,15000,14896,47.49
687,227,197,1600,1567,21.2
688,227,5,11950,11629,44.67
689,228,82,13450,13272,13.19
690,229,151,1085,1054,462.07
691,229,63,4075,4052,13.25
692,230,12,1300,1262,18.32
693,230,165,72,68,16.44
694,231,196,67,65,61.87
695,231,131,251,244,22.97
696,231,162,11450,11276,7.57
697,231,92,100,97,15.46
698,232,157,3350,3308,56.6
699,232,149,4040,3985,375.72
700,233,112,2330,2247,23.81
701,233,24,3810,3809,103.23
702,234,127,9800,9459,16.22
703,235,26,432,423,478.02
704,235,141,282,274,50.2
705,235,39,600,596,11.0
706,235,147,2570,2465,17.21
707,236,95,2870,2827,396.39
708,236,83,1250,1241,25.84
709,236,195,86,83,84.86
710,237,1,66,63,11.2
711,237,131,435,419,23.83
712,237,140,363,354,30.57
713,238,135,4550,4463,25.65
714,238,132,11050,10904,431.62
715,239,190,3800,3631,21.52
716,240,56,366,348,37.68
717,240,118,1185,1136,22.05
718,240,152,336,331,27.02
719,241,144,3000,2997,31.61
720,241,52,4300,4201,70.71
721,241,151,1910,1860,520.09
722,241,100,2175,2129,97.63
723,241,173,4090,3928,13.01
724,242,135,11500,11441,24.28
725,242,169,1535,1510,8.61
726,243,196,82,79,64.29
727,243,129,1405,1368,29.19
728,243,164,1595,1581,18.54
729,244,28,472,460,412.12
730,244,82,9950,9677,13.19
731,244,192,11900,11780,23.92
732,244,158,20200,20006,10.48
733,244,174,2075,1990,43.73
734,245,83,2275,2205,25.84
735,245,15,3525,3399,27.06
736,245,95,890,850,396.39
737,245,81,1910,1825,73.37
738,246,183,1270,1262,88.71
739,246,172,15800,15762,53.58
740,247,151,1315,1312,520.09
741,248,163,14600,14123,21.82
742,248,19,6925,6834,218.68
743,248,66,600,578,496.9
744,248,58,82,77,9.23
745,248,96,23000,22117,8.93
746,249,59,1105,1072,193.37
747,249,69,5625,5528,55.48
748,249,140,452,436,30.57
749,249,164,1765,1735,18.54
750,249,163,16050,15923,21.54
751,250,102,205,200,26.84
752,250,164,2270,2191,17.87
753,250,194,22700,21860,13.29
754,250,185,1485,1438,13.59
755,251,149,1250,1209,375.72
756,251,157,2830,2823,56.6
757,251,182,366,364,69.48
758,252,88,3575,3570,29.64
759,252,102,479,472,26.84
760,252,185,1955,1934,13.59
761,252,194,6600,6348,13.29
762,252,164,355,354,17.87
763,253,69,6875,6620,55.48
764,253,140,144,138,30.57
765,253,51,412,392,9.78
766,253,164,1060,1058,18.54
767,253,80,3125,3027,257.83
768,254,7,16150,15586,14.89
769,254,78,310,300,5.83
770,254,138,3050,3014,490.35
771,254,18,7100,7074,63.78
772,254,11,6450,6128,17.22
773,255,189,2190,2151,60.14
774,255,172,10050,9785,53.58
775,255,71,198,197,157.66
776,255,107,4360,4355,15.47
777,255,188,8575,8432,96.1
778,256,166,20100,19207,50.54
779,256,83,7375,7338,25.84
780,256,21,3025,2976,70.86
781,256,106,5450,5261,28.01
782,257,168,24000,23064,252.14
783,257,72,232,221,20.67
784,257,36,1950,1911,22.15
785,257,105,3725,3647,28.86
786,258,153,3750,3566,25.91
787,258,41,1625,1612,31.79
788,259,191,6275,6022,16.54
789,260,116,3590,3502,221.24
790,260,27,390,388,47.47
791,260,176,234,226,16.47
792,261,172,12350,11962,46.75
793,261,138,1950,1886,478.15
794,261,121,2070,2067,26.43
795,261,133,2485,2430,10.64
796,262,168,13850,13671,237.77
797,262,29,2620,2594,467.38
798,263,43,11550,11392,8.7
799,263,110,13350,13168,185.68
800,263,186,6550,6268,135.85
801,264,123,2350,2249,15.37
802,264,92,205,199,15.46
803,264,53,24700,24113,12.89
804,264,9,2210,2106,29.28
805,264,77,1760,1738,27.57
806,265,87,12950,12716,232.58
807,266,59,695,679,212.9
808,266,14,4130,4040,383.14
809,266,85,600,575,11.5
810,267,171,8325,8112,102.56
811,267,100,2355,2334,97.63
812,267,49,477,467,27.99
813,267,80,7550,7383,263.09
814,268,61,63,62,23.36
815,268,76,3200,3082,7.67
816,268,119,3770,3738,310.42
817,268,31,7275,6956,12.84
818,269,63,3525,3435,13.25
819,269,80,10050,9871,260.72
820,269,181,320,305,94.69
821,270,61,356,351,23.36
822,270,28,347,337,394.63
823,270,12,6825,6780,18.32
824,270,116,3710,3651,221.24
825,271,152,312,307,29.73
826,272,116,1330,1302,214.75
827,273,146,286,284,235.44
828,273,134,119,115,10.44
829,274,164,1170,1136,17.87
830,275,73,990,954,219.79
831,275,119,3770,3757,310.42
832,275,165,313,300,16.44
833,276,198,8900,8789,10.61
834,276,51,328,316,9.78
835,277,48,2295,2214,268.02
836,277,103,10000,9848,25.16
837,277,49,235,224,31.07
838,278,186,11775,11270,135.85
839,278,19,3000,2927,218.68
840,278,133,1200,1186,10.72
841,278,173,2600,2514,14.19
842,278,134,133,127,9.22
843,279,105,11875,11393,30.41
844,279,29,3360,3295,467.38
845,279,141,475,473,53.45
846,279,155,24150,23585,283.57
847,279,123,8300,8176,16.8
848,280,129,1425,1419,33.07
849,281,190,2900,2824,21.36
850,282,92,121,119,15.27
851,282,157,3550,3465,56.6
852,282,195,225,215,84.06
853,283,107,4310,4270,16.56
854,283,69,4075,3897,58.25
855,283,67,4050,3876,45.54
856,284,21,2850,2737,70.86
857,284,95,900,874,396.39
858,285,88,1475,1458,29.64
859,286,170,525,499,8.21
860,287,189,800,778,66.02
861,287,195,179,170,84.06
862,287,182,204,200,69.48
863,287,1,436,416,12.43
864,287,92,113,112,15.27
865,288,103,3800,3645,24.65
866,288,193,2290,2178,16.02
867,289,194,17300,16735,14.5
868,289,162,3300,3276,7.57
869,290,38,7700,7534,18.7
870,290,175,100,99,448.36
871,290,3,11000,10457,251.97
872,290,71,161,158,180.66
873,290,123,4850,4649,14.67
874,291,125,2105,2010,109.38
875,291,9,1590,1583,32.35
876,291,26,485,477,540.82
877,291,171,5925,5835,90.86
878,291,191,3600,3499,16.54
879,292,95,4770,4616,399.4
880,293,108,1590,1551,89.61
881,293,47,12900,12327,12.54
882,293,106,10500,10039,28.48
883,293,168,5300,5172,259.48
884,294,9,4100,3954,29.28
885,294,191,10475,9972,18.65
886,294,92,217,211,15.46
887,294,197,2470,2381,21.2
888,295,199,2005,2002,79.26
889,295,167,1385,1331,40.03
890,295,80,6450,6221,263.09
891,295,173,4870,4730,13.01
892,295,54,488,465,28.62
893,296,16,1190,1141,31.3
894,296,64,3950,3849,15.3
895,296,44,103,99,17.2
896,296,79,1585,1557,12.62
897,297,89,12600,12222,13.05
898,298,124,10725,10684,38.74
899,298,54,136,129,29.28
900,298,135,7550,7300,25.65
901,298,170,1770,1756,7.31
902,298,32,2560,2447,34.9
903,299,168,15250,14699,252.14
904,299,180,2075,2050,7.07
905,299,98,1765,1700,12.24
906,299,72,454,449,20.67
