customer_id,customer_code,customer_name,customer_type,email,phone,city,state,zip_code,country,latitude,longitude,credit_limit,is_active
17,CUST-0017,Customer 17 Wholesale,Wholesale,orders@customer17.com,555-703-9267,Chicago,IL,32149,USA,41.501261981750964,-87.41868990990415,393630.65,True
18,CUST-0018,Customer 18 Retail,Retail,orders@customer18.com,555-755-5190,Fort Worth,TX,80088,USA,32.87863477731188,-97.23687593212514,43767.32,True
19,CUST-0019,Customer 19 Retail,Retail,orders@customer19.com,555-120-1790,New York,NY,25176,USA,40.62957556517954,-74.12574623707239,68821.09,True
20,CUST-0020,Customer 20 Distributor,Distributor,orders@customer20.com,555-256-4366,Dallas,TX,99881,USA,32.90701134016294,-96.9958835452432,289758.54,True
21,CUST-0021,Customer 21 Retail,Retail,orders@customer21.com,555-376-3247,Austin,TX,64896,USA,30.59785272047089,-98.1381857630999,69623.47,True
22,CUST-0022,Customer 22 Retail,Retail,orders@customer22.com,555-903-2741,Jacksonville,FL,75239,USA,30.03084666170628,-81.95595061385363,35443.61,True
23,CUST-0023,Customer 23 Wholesale,Wholesale,orders@customer23.com,555-519-5839,Phoenix,AZ,31020,USA,32.98780570762857,-112.0776452866319,243168.73,True
24,CUST-0024,Customer 24 Direct,Direct,orders@customer24.com,555-102-1208,Houston,TX,98032,USA,29.34940283952713,-95.75936908259368,39754.33,True
25,CUST-0025,Customer 25 Direct,Direct,orders@customer25.com,555-192-9383,San Jose,CA,19836,USA,37.56176361689848,-122.28500952140705,23423.0,True
26,CUST-0026,Customer 26 Wholesale,Wholesale,orders@customer26.com,555-403-5327,Phoenix,AZ,70853,USA,32.998480195812945,-111.76082158608212,282700.49,True
27,CUST-0027,Customer 27 Retail,Retail,orders@customer27.com,555-468-6123,Columbus,OH,65836,USA,40.199740195792174,-83.40380152966942,86702.38,True
28,CUST-0028,Customer 28 Retail,Retail,orders@customer28.com,555-241-3793,Fort Worth,TX,53078,USA,32.61302740423774,-97.39308548321806,10870.51,True
29,CUST-0029,Customer 29 Distributor,Distributor,orders@customer29.com,555-195-7105,San Jose,CA,54921,USA,37.02106942030365,-121.98552248571926,451390.21,True
30,CUST-0030,Customer 30 Distributor,Distributor,orders@customer30.com,555-806-8835,San Diego,CA,65278,USA,32.86454648387226,-116.8641904429646,434283.34,True
31,CUST-0031,Customer 31 Wholesale,Wholesale,orders@customer31.com,555-160-3611,Los Angeles,CA,23593,USA,33.96822771663089,-118.15294969700966,378467.95,True
32,CUST-0032,Customer 32 Direct,Direct,orders@customer32.com,555-488-6875,Fort Worth,TX,90131,USA,32.28431622957122,-97.14633586661853,26313.45,True
33,CUST-0033,Customer 33 Wholesale,Wholesale,orders@customer33.com,555-599-2850,Columbus,OH,63907,USA,39.90188788026252,-83.4354639535009,293231.86,True
34,CUST-0034,Customer 34 Distributor,Distributor,orders@customer34.com,555-989-9598,Austin,TX,85582,USA,30.490973543275985,-98.01911508067626,104944.09,True
35,CUST-0035,Customer 35 Distributor,Distributor,orders@customer35.com,555-804-2560,Austin,TX,66734,USA,30.428913262845963,-97.99452300514929,307639.87,True
36,CUST-0036,Customer 36 Direct,Direct,orders@customer36.com,555-946-1894,Philadelphia,PA,11526,USA,40.09599871655681,-75.50827262669826,23378.9,True
37,CUST-0037,Customer 37 Direct,Direct,orders@customer37.com,555-990-3709,Columbus,OH,19812,USA,40.21263000104761,-83.17816618446639,86668.4,True
38,CUST-0038,Customer 38 Distributor,Distributor,orders@customer38.com,555-328-7203,Philadelphia,PA,62858,USA,40.26970330571979,-75.5863694042452,120140.29,True
39,CUST-0039,Customer 39 Direct,Direct,orders@customer39.com,555-610-8324,San Diego,CA,51426,USA,32.33440685205363,-117.1637266519335,17921.79,True
40,CUST-0040,Customer 40 Retail,Retail,orders@customer40.com,555-522-1587,Austin,TX,83024,USA,30.31629878969319,-97.41719124157656,19237.9,True
41,CUST-0041,Customer 41 Distributor,Distributor,orders@customer41.com,555-675-4389,Fort Worth,TX,95799,USA,32.926974370779156,-96.88044487000663,456044.36,True
42,CUST-0042,Customer 42 Retail,Retail,orders@customer42.com,555-964-8445,Philadelphia,PA,53512,USA,40.01275084510606,-75.04544203032292,83492.98,True
43,CUST-0043,Customer 43 Distributor,Distributor,orders@customer43.com,555-216-2596,San Diego,CA,96364,USA,32.43744710782019,-117.31974288542317,386365.4,True
44,CUST-0044,Customer 44 Distributor,Distributor,orders@customer44.com,555-482-2741,Columbus,OH,16000,USA,40.358077118678054,-83.00637785781883,319076.23,True
45,CUST-0045,Customer 45 Direct,Direct,orders@customer45.com,555-725-4209,Columbus,OH,34581,USA,39.58194580736619,-82.64660562823343,19626.54,True
46,CUST-0046,Customer 46 Direct,Direct,orders@customer46.com,555-295-6536,Houston,TX,24125,USA,30.017549341810273,-95.82329963809083,84209.87,True
47,CUST-0047,Customer 47 Retail,Retail,orders@customer47.com,555-561-8493,Austin,TX,96305,USA,30.35651616661094,-97.73890242384496,79493.07,True
48,CUST-0048,Customer 48 Retail,Retail,orders@customer48.com,555-149-8091,San Diego,CA,86692,USA,32.698631963535924,-117.15276710092812,57732.79,True
49,CUST-0049,Customer 49 Wholesale,Wholesale,orders@customer49.com,555-277-3103,Charlotte,NC,23573,USA,35.11450557922067,-80.7425539781946,376727.09,True
50,CUST-0050,Customer 50 Distributor,Distributor,orders@customer50.com,555-493-7859,Charlotte,NC,89822,USA,35.6430102416971,-80.58072534373821,301644.05,True
51,CUST-0051,Customer 51 Direct,Direct,orders@customer51.com,555-401-8419,Phoenix,AZ,27481,USA,33.086580005645345,-111.97147555032362,96723.42,True
52,CUST-0052,Customer 52 Distributor,Distributor,orders@customer52.com,555-660-6143,Charlotte,NC,82559,USA,35.35968328450726,-81.14221091767466,437229.77,True
53,CUST-0053,Customer 53 Distributor,Distributor,orders@customer53.com,555-788-3173,San Jose,CA,95208,USA,37.813379493116784,-122.20848730074248,374644.52,True
54,CUST-0054,Customer 54 Distributor,Distributor,orders@customer54.com,555-879-6771,Dallas,TX,83699,USA,32.75706992239063,-96.7263618057469,384141.09,True
55,CUST-0055,Customer 55 Direct,Direct,orders@customer55.com,555-961-9747,Austin,TX,47477,USA,30.644677234954393,-97.82071363082898,70681.91,True
56,CUST-0056,Customer 56 Retail,Retail,orders@customer56.com,555-248-1869,New York,NY,97851,USA,40.26940477429556,-74.2390217305557,12274.49,True
57,CUST-0057,Customer 57 Wholesale,Wholesale,orders@customer57.com,555-799-5105,Fort Worth,TX,29192,USA,33.09488181446517,-97.14020514963599,493412.96,True
58,CUST-0058,Customer 58 Wholesale,Wholesale,orders@customer58.com,555-133-6876,Phoenix,AZ,69322,USA,33.05088000633798,-111.70596462634559,401437.58,True
59,CUST-0059,Customer 59 Wholesale,Wholesale,orders@customer59.com,555-674-7371,Jacksonville,FL,41142,USA,30.343122303678893,-81.3588663522212,396965.09,True
60,CUST-0060,Customer 60 Distributor,Distributor,orders@customer60.com,555-148-7251,Jacksonville,FL,60797,USA,30.248766237484677,-81.36758846993578,377174.43,True
61,CUST-0061,Customer 61 Distributor,Distributor,orders@customer61.com,555-155-1212,Austin,TX,42943,USA,29.970287222729336,-97.37425003868248,486333.29,True
62,CUST-0062,Customer 62 Direct,Direct,orders@customer62.com,555-748-7025,Columbus,OH,87120,USA,40.00781513670124,-82.89541302271137,84698.51,True
63,CUST-0063,Customer 63 Wholesale,Wholesale,orders@customer63.com,555-281-2220,Fort Worth,TX,34507,USA,33.21797524897601,-97.09572051397377,217671.09,True
64,CUST-0064,Customer 64 Direct,Direct,orders@customer64.com,555-385-5329,Los Angeles,CA,27048,USA,33.713128849756615,-117.89768580390948,13657.08,True
65,CUST-0065,Customer 65 Distributor,Distributor,orders@customer65.com,555-258-1654,New York,NY,30146,USA,41.141428238459156,-73.90911966798562,286532.54,True
66,CUST-0066,Customer 66 Distributor,Distributor,orders@customer66.com,555-686-6866,Fort Worth,TX,19552,USA,33.0395314485705,-97.51294099462781,296220.38,True
67,CUST-0067,Customer 67 Wholesale,Wholesale,orders@customer67.com,555-905-9276,Houston,TX,30889,USA,29.676331243770424,-95.33276404746609,308242.51,True
68,CUST-0068,Customer 68 Distributor,Distributor,orders@customer68.com,555-318-6437,Los Angeles,CA,53393,USA,33.91299782466273,-118.52525471421549,188479.23,True
69,CUST-0069,Customer 69 Direct,Direct,orders@customer69.com,555-943-1144,Fort Worth,TX,25036,USA,32.924438467994385,-97.38513275371531,99696.8,True
70,CUST-0070,Customer 70 Wholesale,Wholesale,orders@customer70.com,555-798-6258,Charlotte,NC,59987,USA,35.643032430298675,-80.39811232956816,483558.73,True
71,CUST-0071,Customer 71 Distributor,Distributor,orders@customer71.com,555-389-1404,San Antonio,TX,77746,USA,29.746209064239967,-98.61864195783802,316094.93,True
72,CUST-0072,Customer 72 Direct,Direct,orders@customer72.com,555-403-4154,Fort Worth,TX,51984,USA,32.76939470012743,-96.88258818035158,53812.42,True
73,CUST-0073,Customer 73 Retail,Retail,orders@customer73.com,555-315-4492,Chicago,IL,99837,USA,41.80230945194114,-88.02587319082633,66423.98,True
74,CUST-0074,Customer 74 Direct,Direct,orders@customer74.com,555-173-3519,Dallas,TX,13113,USA,32.73592523526004,-96.96528462453271,68190.5,True
75,CUST-0075,Customer 75 Retail,Retail,orders@customer75.com,555-913-5127,Los Angeles,CA,83149,USA,33.62264209223213,-117.92208068136837,14884.13,True
76,CUST-0076,Customer 76 Distributor,Distributor,orders@customer76.com,555-561-7626,Charlotte,NC,66757,USA,35.043504245919664,-80.95359813275563,263053.11,True
77,CUST-0077,Customer 77 Retail,Retail,orders@customer77.com,555-733-2036,Los Angeles,CA,86756,USA,33.597716853786125,-117.89544876099386,67728.05,True
78,CUST-0078,Customer 78 Retail,Retail,orders@customer78.com,555-802-5937,Philadelphia,PA,89503,USA,39.53910522143779,-74.89992575897953,36085.29,True
79,CUST-0079,Customer 79 Direct,Direct,orders@customer79.com,555-776-1504,San Diego,CA,72126,USA,32.372023474149906,-117.4412342745395,45560.19,True
80,CUST-0080,Customer 80 Direct,Direct,orders@customer80.com,555-969-9941,Jacksonville,FL,48663,USA,30.792334265080434,-82.01162446254152,81709.34,True
81,CUST-0081,Customer 81 Distributor,Distributor,orders@customer81.com,555-111-3316,Austin,TX,26152,USA,29.808973140467923,-97.6703814050566,482956.66,True
82,CUST-0082,Customer 82 Retail,Retail,orders@customer82.com,555-866-6633,San Antonio,TX,37752,USA,29.33675449602625,-98.34766849643991,37422.2,True
83,CUST-0083,Customer 83 Wholesale,Wholesale,orders@customer83.com,555-326-5140,Dallas,TX,35470,USA,32.391322542123184,-96.62602208864942,164381.74,True
84,CUST-0084,Customer 84 Retail,Retail,orders@customer84.com,555-662-8557,San Jose,CA,94498,USA,37.38786460967917,-122.09564733247991,86624.9,True
85,CUST-0085,Customer 85 Distributor,Distributor,orders@customer85.com,555-843-8982,Los Angeles,CA,53365,USA,33.90933835901182,-118.07240443421995,139280.96,True
86,CUST-0086,Customer 86 Retail,Retail,orders@customer86.com,555-171-4170,Houston,TX,51652,USA,29.746261230273888,-95.54145392178042,35662.34,True
87,CUST-0087,Customer 87 Distributor,Distributor,orders@customer87.com,555-256-6971,Austin,TX,51462,USA,30.725858921929504,-98.07446048909402,377383.25,True
88,CUST-0088,Customer 88 Wholesale,Wholesale,orders@customer88.com,555-829-8145,Philadelphia,PA,46264,USA,40.29271005878065,-75.5308941676171,414264.04,True
89,CUST-0089,Customer 89 Distributor,Distributor,orders@customer89.com,555-573-8296,Jacksonville,FL,57020,USA,30.606966961525917,-81.6687286175633,451154.33,True
90,CUST-0090,Customer 90 Wholesale,Wholesale,orders@customer90.com,555-183-5597,Los Angeles,CA,28350,USA,34.44349703893228,-118.5472680706558,358220.64,True
91,CUST-0091,Customer 91 Retail,Retail,orders@customer91.com,555-119-9309,Jacksonville,FL,92788,USA,29.86339423100831,-81.57380950950606,75468.28,True
92,CUST-0092,Customer 92 Wholesale,Wholesale,orders@customer92.com,555-664-5269,San Antonio,TX,81233,USA,29.818085934546055,-98.45392288318796,462521.43,True
93,CUST-0093,Customer 93 Wholesale,Wholesale,orders@customer93.com,555-328-5767,Austin,TX,27548,USA,30.23190114217045,-97.73268800665622,246327.45,True
94,CUST-0094,Customer 94 Distributor,Distributor,orders@customer94.com,555-778-4913,San Antonio,TX,90482,USA,29.60826165684047,-98.23639392872649,300866.91,True
95,CUST-0095,Customer 95 Direct,Direct,orders@customer95.com,555-679-3395,Chicago,IL,73373,USA,42.31727525826987,-88.08938017394827,24330.02,True
96,CUST-0096,Customer 96 Direct,Direct,orders@customer96.com,555-370-7052,Fort Worth,TX,40673,USA,32.298308440838646,-97.6240259252825,30857.49,True
97,CUST-0097,Customer 97 Distributor,Distributor,orders@customer97.com,555-565-1760,Charlotte,NC,15230,USA,35.7076897820631,-81.01902888993602,255237.24,True
98,CUST-0098,Customer 98 Distributor,Distributor,orders@customer98.com,555-369-9918,Jacksonville,FL,84732,USA,30.00604981644645,-81.50202468686611,433948.91,True
99,CUST-0099,Customer 99 Retail,Retail,orders@customer99.com,555-485-4651,Philadelphia,PA,77681,USA,39.8584422025509,-74.84796323476642,56499.66,True
100,CUST-0100,Customer 100 Direct,Direct,orders@customer100.com,555-718-1108,Philadelphia,PA,75776,USA,40.33463424318856,-75.22530129924412,81339.17,True
101,CUST-0101,Customer 101 Retail,Retail,orders@customer101.com,555-387-4465,Houston,TX,29692,USA,29.447305675808767,-95.5075770557849,56308.71,True
102,CUST-0102,Customer 102 Retail,Retail,orders@customer102.com,555-524-6410,Jacksonville,FL,24855,USA,30.313716649389487,-81.67688535727991,69499.87,True
103,CUST-0103,Customer 103 Wholesale,Wholesale,orders@customer103.com,555-520-1367,Houston,TX,41938,USA,29.303544331335168,-95.29631348864773,358903.69,True
104,CUST-0104,Customer 104 Wholesale,Wholesale,orders@customer104.com,555-140-3406,Chicago,IL,17328,USA,41.544441366307886,-87.2073531293449,351816.17,True
105,CUST-0105,Customer 105 Direct,Direct,orders@customer105.com,555-677-1305,Dallas,TX,96736,USA,33.098003310122,-96.3497461313773,63942.18,True
106,CUST-0106,Customer 106 Direct,Direct,orders@customer106.com,555-582-8891,Houston,TX,32356,USA,29.47976381481859,-95.45903314809173,64587.33,True
107,CUST-0107,Customer 107 Wholesale,Wholesale,orders@customer107.com,555-623-5333,Chicago,IL,31983,USA,42.102286798077756,-87.78712872543967,349284.7,True
108,CUST-0108,Customer 108 Retail,Retail,orders@customer108.com,555-494-3166,San Diego,CA,24230,USA,32.232262627273414,-117.13838865698284,30683.24,True
109,CUST-0109,Customer 109 Direct,Direct,orders@customer109.com,555-720-2577,Charlotte,NC,33255,USA,35.20296918548948,-80.72835183051964,84386.28,True
110,CUST-0110,Customer 110 Retail,Retail,orders@customer110.com,555-775-3135,New York,NY,89098,USA,40.75208598633052,-74.50479979418986,18387.1,True
111,CUST-0111,Customer 111 Direct,Direct,orders@customer111.com,555-479-1711,Fort Worth,TX,79444,USA,32.68445626447712,-96.89237837210372,56983.98,True
112,CUST-0112,Customer 112 Direct,Direct,orders@customer112.com,555-923-2600,San Diego,CA,65769,USA,32.349583105624596,-117.18395876299546,41546.6,True
113,CUST-0113,Customer 113 Retail,Retail,orders@customer113.com,555-997-9908,Houston,TX,63562,USA,29.518204976321915,-95.86433054585197,35494.0,True
114,CUST-0114,Customer 114 Retail,Retail,orders@customer114.com,555-220-9515,Jacksonville,FL,10942,USA,30.207229881704944,-81.95028130383665,62018.84,True
115,CUST-0115,Customer 115 Distributor,Distributor,orders@customer115.com,555-209-3535,Fort Worth,TX,65846,USA,32.90707593477793,-97.57716727376801,263538.03,True
116,CUST-0116,Customer 116 Direct,Direct,orders@customer116.com,555-726-5514,Columbus,OH,99208,USA,39.85865414819547,-83.29510633880773,60820.32,True
117,CUST-0117,Customer 117 Direct,Direct,orders@customer117.com,555-672-8925,Dallas,TX,43263,USA,33.26520826402495,-96.71934884690972,26084.76,True
118,CUST-0118,Customer 118 Direct,Direct,orders@customer118.com,555-975-2951,Fort Worth,TX,40116,USA,32.70209487741522,-97.13148855770494,76220.42,True
119,CUST-0119,Customer 119 Retail,Retail,orders@customer119.com,555-510-6544,Chicago,IL,82165,USA,41.992125367029445,-87.44523555329152,29301.23,True
120,CUST-0120,Customer 120 Wholesale,Wholesale,orders@customer120.com,555-751-1086,New York,NY,21939,USA,41.03605546551741,-74.03433133991166,255641.47,True
121,CUST-0121,Customer 121 Direct,Direct,orders@customer121.com,555-369-4633,San Jose,CA,58606,USA,36.9182397366958,-122.34854466171493,17932.66,True
122,CUST-0122,Customer 122 Direct,Direct,orders@customer122.com,555-633-5693,San Antonio,TX,88311,USA,28.981563034583,-98.2199915477676,65256.9,True
123,CUST-0123,Customer 123 Direct,Direct,orders@customer123.com,555-306-9489,Chicago,IL,47487,USA,41.572846494543626,-87.3458405546463,49507.48,True
124,CUST-0124,Customer 124 Wholesale,Wholesale,orders@customer124.com,555-790-1590,Dallas,TX,57151,USA,32.51595662528737,-97.29671272814538,346075.99,True
125,CUST-0125,Customer 125 Retail,Retail,orders@customer125.com,555-898-7544,Chicago,IL,56285,USA,42.047762046396315,-87.72434903314948,99713.54,True
126,CUST-0126,Customer 126 Retail,Retail,orders@customer126.com,555-170-2477,Houston,TX,82036,USA,29.54489378703638,-95.0400351975507,76323.3,True
127,CUST-0127,Customer 127 Distributor,Distributor,orders@customer127.com,555-935-5530,Charlotte,NC,39661,USA,35.333463407992255,-81.14857480691404,238990.04,True
128,CUST-0128,Customer 128 Direct,Direct,orders@customer128.com,555-367-3867,Charlotte,NC,63363,USA,35.23333809625555,-80.78446928713035,61741.6,True
129,CUST-0129,Customer 129 Distributor,Distributor,orders@customer129.com,555-219-9409,Dallas,TX,43776,USA,33.15281304624307,-96.48385265039363,235986.36,True
130,CUST-0130,Customer 130 Distributor,Distributor,orders@customer130.com,555-486-8923,San Jose,CA,41886,USA,37.59567328504667,-121.4250612746984,377676.74,True
131,CUST-0131,Customer 131 Direct,Direct,orders@customer131.com,555-982-1448,San Diego,CA,73172,USA,32.331968301440924,-117.59354573933875,90687.14,True
132,CUST-0132,Customer 132 Wholesale,Wholesale,orders@customer132.com,555-335-6172,Austin,TX,64057,USA,30.72264568712336,-97.72659578279516,370765.19,True
133,CUST-0133,Customer 133 Distributor,Distributor,orders@customer133.com,555-195-7536,New York,NY,98302,USA,40.96158813193049,-74.16400712200978,199303.04,True
134,CUST-0134,Customer 134 Wholesale,Wholesale,orders@customer134.com,555-462-4580,Dallas,TX,85197,USA,32.545775782468795,-96.34988189093652,290622.18,True
135,CUST-0135,Customer 135 Wholesale,Wholesale,orders@customer135.com,555-304-4847,Austin,TX,41726,USA,30.639942498408296,-98.03632136767798,299599.74,True
136,CUST-0136,Customer 136 Wholesale,Wholesale,orders@customer136.com,555-464-3555,Houston,TX,23983,USA,29.38027849265477,-95.79131242736122,434533.88,True
137,CUST-0137,Customer 137 Direct,Direct,orders@customer137.com,555-882-9871,Austin,TX,15539,USA,30.615210595755965,-97.87190346461632,65244.43,True
138,CUST-0138,Customer 138 Direct,Direct,orders@customer138.com,555-688-5501,Philadelphia,PA,74330,USA,39.635471863129695,-74.90093767456408,90830.91,True
139,CUST-0139,Customer 139 Distributor,Distributor,orders@customer139.com,555-868-3101,Dallas,TX,17097,USA,32.80243544382505,-96.8738241325146,259151.8,True
140,CUST-0140,Customer 140 Retail,Retail,orders@customer140.com,555-503-3863,Dallas,TX,69925,USA,33.25320719523704,-96.59875543190385,55222.77,True
141,CUST-0141,Customer 141 Distributor,Distributor,orders@customer141.com,555-112-4452,San Diego,CA,59732,USA,32.79670821897945,-117.33566380008457,375684.22,True
142,CUST-0142,Customer 142 Distributor,Distributor,orders@customer142.com,555-369-4885,San Jose,CA,45311,USA,37.309545364738455,-121.77321595686156,174860.98,True
143,CUST-0143,Customer 143 Wholesale,Wholesale,orders@customer143.com,555-315-7866,Philadelphia,PA,58799,USA,39.81767798622791,-75.26460740257778,299508.01,True
144,CUST-0144,Customer 144 Wholesale,Wholesale,orders@customer144.com,555-689-4744,San Diego,CA,23090,USA,32.936515459414935,-116.85701241899278,328563.89,True
145,CUST-0145,Customer 145 Direct,Direct,orders@customer145.com,555-300-3389,Dallas,TX,29601,USA,32.7496870245283,-97.2872577089026,87067.79,True
146,CUST-0146,Customer 146 Direct,Direct,orders@customer146.com,555-969-9470,San Antonio,TX,79990,USA,29.64466032952463,-98.20826706330612,22102.45,True
147,CUST-0147,Customer 147 Distributor,Distributor,orders@customer147.com,555-681-1781,Phoenix,AZ,62219,USA,33.047374799294346,-112.41065811970803,324855.38,True
148,CUST-0148,Customer 148 Distributor,Distributor,orders@customer148.com,555-744-2577,Houston,TX,68963,USA,30.004993220462328,-95.61003087798832,290615.77,True
149,CUST-0149,Customer 149 Distributor,Distributor,orders@customer149.com,555-521-2986,Philadelphia,PA,56018,USA,40.31996858397413,-74.70208343908209,237656.11,True
150,CUST-0150,Customer 150 Wholesale,Wholesale,orders@customer150.com,555-391-6818,Houston,TX,52610,USA,29.93359284014735,-95.38230625569564,491749.25,True
