so_id,so_number,customer_id,warehouse_id,order_date,requested_delivery_date,actual_ship_date,status,total_amount,shipping_cost
35,SO-2024-000035,98,5,2024-01-02,2024-01-06,2024-01-07,Delivered,83201.93,49.3
36,SO-2024-000036,13,3,2024-01-02,2024-01-16,2024-01-04,Delivered,100462.9,74.65
37,SO-2024-000037,3,2,2024-01-02,2024-01-14,2024-01-05,Delivered,9453.51,19.32
38,SO-2024-000038,127,1,2024-01-02,2024-01-12,2024-01-03,Delivered,494271.18,29.07
39,SO-2024-000039,140,1,2024-01-02,2024-01-07,2024-01-04,Delivered,16559.94,32.7
40,SO-2024-000040,40,4,2024-01-02,2024-01-10,2024-01-05,Delivered,11233.71,19.36
41,SO-2024-000041,71,1,2024-01-02,2024-01-05,2024-01-05,Delivered,123154.9,51.24
42,SO-2024-000042,118,4,2024-01-02,2024-01-07,2024-01-05,Delivered,3971.49,29.52
43,SO-2024-000043,87,5,2024-01-02,2024-01-12,2024-01-03,Delivered,211014.77,92.05
44,SO-2024-000044,54,4,2024-01-02,2024-01-14,2024-01-04,Delivered,224956.29,48.67
45,SO-2024-000045,71,3,2024-01-02,2024-01-13,2024-01-04,Delivered,89778.15,25.39
46,SO-2024-000046,136,4,2024-01-02,2024-01-09,2024-01-06,Delivered,66479.71,60.84
47,SO-2024-000047,22,4,2024-01-02,2024-01-14,2024-01-07,Delivered,6511.49,11.01
48,SO-2024-000048,58,4,2024-01-02,2024-01-07,2024-01-06,Delivered,79436.48,81.09
49,SO-2024-000049,129,3,2024-01-02,2024-01-10,2024-01-03,Delivered,61928.19,90.66
50,SO-2024-000050,23,1,2024-01-02,2024-01-14,2024-01-07,Delivered,277493.55,74.68
51,SO-2024-000051,97,5,2024-01-02,2024-01-15,2024-01-03,Delivered,246485.54,77.94
52,SO-2024-000052,18,4,2024-01-02,2024-01-09,2024-01-07,Delivered,20794.68,72.06
53,SO-2024-000053,41,5,2024-01-02,2024-01-10,2024-01-06,Delivered,209015.56,17.35
54,SO-2024-000054,37,4,2024-01-02,2024-01-06,2024-01-07,Delivered,3053.06,83.1
55,SO-2024-000055,43,1,2024-01-02,2024-01-12,2024-01-03,Delivered,118420.91,43.78
56,SO-2024-000056,125,2,2024-01-02,2024-01-06,2024-01-03,Delivered,7223.3,85.97
57,SO-2024-000057,50,5,2024-01-02,2024-01-08,2024-01-06,Delivered,261604.04,91.11
58,SO-2024-000058,10,1,2024-01-02,2024-01-07,2024-01-04,Delivered,19822.4,34.63
59,SO-2024-000059,68,1,2024-01-02,2024-01-06,2024-01-06,Delivered,216715.18,63.83
60,SO-2024-000060,26,3,2024-01-02,2024-01-05,2024-01-07,Delivered,129830.7,89.06
61,SO-2024-000061,117,4,2024-01-02,2024-01-14,2024-01-05,Delivered,3667.72,46.07
62,SO-2024-000062,36,3,2024-01-02,2024-01-06,2024-01-06,Delivered,14147.62,52.36
63,SO-2024-000063,93,1,2024-01-03,2024-01-06,2024-01-07,Delivered,102407.31,35.03
64,SO-2024-000064,130,4,2024-01-03,2024-01-11,2024-01-06,Delivered,152687.34,74.15
65,SO-2024-000065,10,2,2024-01-03,2024-01-14,2024-01-08,Delivered,73308.51,56.26
66,SO-2024-000066,96,3,2024-01-03,2024-01-16,2024-01-08,Delivered,611.76,88.59
67,SO-2024-000067,33,1,2024-01-03,2024-01-17,2024-01-07,Delivered,319307.26,51.7
68,SO-2024-000068,142,2,2024-01-03,2024-01-17,2024-01-04,Delivered,73780.22,15.5
69,SO-2024-000069,54,3,2024-01-03,2024-01-11,2024-01-06,Delivered,289070.19,93.78
70,SO-2024-000070,12,1,2024-01-03,2024-01-12,2024-01-07,Delivered,94924.61,76.87
71,SO-2024-000071,12,1,2024-01-03,2024-01-14,2024-01-05,Delivered,208307.58,49.2
72,SO-2024-000072,62,4,2024-01-03,2024-01-06,2024-01-04,Delivered,6170.0,61.19
73,SO-2024-000073,121,3,2024-01-03,2024-01-12,2024-01-05,Delivered,12279.78,28.57
74,SO-2024-000074,54,1,2024-01-03,2024-01-09,2024-01-05,Delivered,263848.97,68.15
75,SO-2024-000075,100,1,2024-01-03,2024-01-08,2024-01-06,Delivered,1289.01,87.6
76,SO-2024-000076,136,3,2024-01-03,2024-01-10,2024-01-08,Delivered,256416.36,94.03
77,SO-2024-000077,41,5,2024-01-03,2024-01-12,2024-01-05,Delivered,109955.45,68.45
78,SO-2024-000078,7,2,2024-01-03,2024-01-08,2024-01-05,Delivered,4910.52,18.65
79,SO-2024-000079,79,1,2024-01-03,2024-01-14,2024-01-05,Delivered,28777.32,88.24
80,SO-2024-000080,128,3,2024-01-03,2024-01-11,2024-01-07,Delivered,13223.34,33.66
81,SO-2024-000081,144,5,2024-01-03,2024-01-11,2024-01-05,Delivered,194221.68,46.99
82,SO-2024-000082,48,5,2024-01-03,2024-01-17,2024-01-05,Delivered,63.6,13.89
83,SO-2024-000083,69,5,2024-01-03,2024-01-16,2024-01-07,Delivered,7361.78,40.67
84,SO-2024-000084,149,2,2024-01-03,2024-01-15,2024-01-08,Delivered,99532.49,65.82
85,SO-2024-000085,131,4,2024-01-03,2024-01-11,2024-01-05,Delivered,738.94,96.27
86,SO-2024-000086,103,5,2024-01-03,2024-01-06,2024-01-04,Delivered,125457.94,83.86
87,SO-2024-000087,95,5,2024-01-03,2024-01-15,2024-01-06,Delivered,8141.64,84.52
88,SO-2024-000088,114,1,2024-01-03,2024-01-11,2024-01-05,Delivered,27350.72,52.5
89,SO-2024-000089,131,5,2024-01-03,2024-01-09,2024-01-08,Delivered,5913.78,91.53
90,SO-2024-000090,129,2,2024-01-03,2024-01-07,2024-01-06,Delivered,124700.19,48.13
91,SO-2024-000091,16,4,2024-01-03,2024-01-17,2024-01-08,Delivered,62127.25,33.88
92,SO-2024-000092,29,2,2024-01-03,2024-01-11,2024-01-04,Delivered,178866.56,72.97
93,SO-2024-000093,108,1,2024-01-03,2024-01-17,2024-01-08,Delivered,5630.37,18.37
94,SO-2024-000094,6,3,2024-01-03,2024-01-09,2024-01-08,Delivered,2405.44,17.68
95,SO-2024-000095,133,1,2024-01-03,2024-01-17,2024-01-08,Delivered,100842.37,80.05
96,SO-2024-000096,67,1,2024-01-03,2024-01-17,2024-01-05,Delivered,162439.17,32.98
97,SO-2024-000097,10,4,2024-01-03,2024-01-15,2024-01-08,Delivered,400597.24,37.31
98,SO-2024-000098,141,2,2024-01-03,2024-01-07,2024-01-06,Delivered,258028.17,34.22
99,SO-2024-000099,49,3,2024-01-03,2024-01-10,2024-01-06,Delivered,276787.07,81.97
100,SO-2024-000100,49,2,2024-01-03,2024-01-08,2024-01-04,Delivered,80005.72,96.37
101,SO-2024-000101,31,5,2024-01-03,2024-01-14,2024-01-05,Delivered,236981.51,59.74
102,SO-2024-000102,114,1,2024-01-03,2024-01-16,2024-01-07,Delivered,18801.78,53.9
103,SO-2024-000103,83,5,2024-01-03,2024-01-11,2024-01-05,Delivered,203363.94,32.72
104,SO-2024-000104,45,4,2024-01-04,2024-01-10,2024-01-08,Delivered,21889.38,15.54
105,SO-2024-000105,128,3,2024-01-04,2024-01-07,2024-01-06,Delivered,7482.54,66.69
106,SO-2024-000106,75,1,2024-01-04,2024-01-11,2024-01-07,Delivered,2262.96,95.72
107,SO-2024-000107,107,3,2024-01-04,2024-01-14,2024-01-06,Delivered,218584.1,23.39
108,SO-2024-000108,117,1,2024-01-04,2024-01-09,2024-01-09,Delivered,35282.31,67.08
109,SO-2024-000109,57,3,2024-01-04,2024-01-13,2024-01-06,Delivered,285491.79,68.73
110,SO-2024-000110,2,2,2024-01-04,2024-01-09,2024-01-09,Delivered,54889.14,36.44
111,SO-2024-000111,24,2,2024-01-04,2024-01-16,2024-01-06,Delivered,1170.4,64.19
112,SO-2024-000112,92,5,2024-01-04,2024-01-14,2024-01-05,Delivered,479994.52,33.42
113,SO-2024-000113,91,2,2024-01-04,2024-01-09,2024-01-09,Delivered,65031.82,20.32
114,SO-2024-000114,129,2,2024-01-04,2024-01-15,2024-01-07,Delivered,311014.37,22.47
115,SO-2024-000115,120,5,2024-01-04,2024-01-08,2024-01-05,Delivered,369419.21,18.5
116,SO-2024-000116,99,3,2024-01-04,2024-01-13,2024-01-09,Delivered,38167.57,54.45
117,SO-2024-000117,77,3,2024-01-04,2024-01-12,2024-01-05,Delivered,24964.92,10.91
118,SO-2024-000118,113,2,2024-01-04,2024-01-15,2024-01-09,Delivered,1786.66,28.28
119,SO-2024-000119,138,2,2024-01-04,2024-01-17,2024-01-05,Delivered,374.4,34.29
120,SO-2024-000120,34,2,2024-01-04,2024-01-18,2024-01-09,Delivered,58154.1,18.39
121,SO-2024-000121,126,2,2024-01-04,2024-01-09,2024-01-06,Delivered,41204.04,80.08
122,SO-2024-000122,135,3,2024-01-04,2024-01-07,2024-01-08,Delivered,78260.7,13.89
123,SO-2024-000123,22,1,2024-01-04,2024-01-11,2024-01-06,Delivered,15202.43,46.87
124,SO-2024-000124,34,5,2024-01-04,2024-01-16,2024-01-06,Delivered,186718.7,92.97
125,SO-2024-000125,78,1,2024-01-04,2024-01-14,2024-01-06,Delivered,3291.52,21.84
126,SO-2024-000126,97,3,2024-01-04,2024-01-07,2024-01-09,Delivered,126523.38,25.52
127,SO-2024-000127,120,3,2024-01-04,2024-01-11,2024-01-07,Delivered,148022.56,51.01
128,SO-2024-000128,41,5,2024-01-04,2024-01-17,2024-01-09,Delivered,123018.14,23.19
129,SO-2024-000129,14,1,2024-01-04,2024-01-16,2024-01-05,Delivered,37612.96,28.43
130,SO-2024-000130,76,2,2024-01-04,2024-01-17,2024-01-05,Delivered,107116.53,32.89
131,SO-2024-000131,79,2,2024-01-04,2024-01-10,2024-01-06,Delivered,36289.77,21.42
132,SO-2024-000132,127,1,2024-01-04,2024-01-17,2024-01-07,Delivered,191361.54,84.29
133,SO-2024-000133,6,4,2024-01-04,2024-01-15,2024-01-09,Delivered,3219.6,92.65
134,SO-2024-000134,109,2,2024-01-04,2024-01-16,2024-01-08,Delivered,10894.1,28.06
135,SO-2024-000135,105,3,2024-01-04,2024-01-12,2024-01-05,Delivered,4759.06,57.22
136,SO-2024-000136,102,5,2024-01-04,2024-01-15,2024-01-06,Delivered,6635.44,10.18
137,SO-2024-000137,46,2,2024-01-04,2024-01-12,2024-01-09,Delivered,8177.3,42.02
138,SO-2024-000138,148,1,2024-01-04,2024-01-14,2024-01-08,Delivered,315154.1,78.59
139,SO-2024-000139,80,2,2024-01-04,2024-01-14,2024-01-09,Delivered,6377.15,66.88
140,SO-2024-000140,15,3,2024-01-04,2024-01-18,2024-01-06,Delivered,238056.07,90.82
141,SO-2024-000141,56,3,2024-01-04,2024-01-12,2024-01-07,Delivered,3510.71,39.96
142,SO-2024-000142,101,5,2024-01-04,2024-01-14,2024-01-07,Delivered,2515.37,87.98
143,SO-2024-000143,34,3,2024-01-04,2024-01-15,2024-01-06,Delivered,177847.57,30.19
144,SO-2024-000144,18,2,2024-01-04,2024-01-12,2024-01-07,Delivered,14628.96,81.1
145,SO-2024-000145,47,5,2024-01-05,2024-01-08,2024-01-07,Delivered,8877.34,77.64
146,SO-2024-000146,85,1,2024-01-05,2024-01-15,2024-01-08,Delivered,300775.91,60.86
147,SO-2024-000147,24,5,2024-01-05,2024-01-15,2024-01-10,Delivered,10226.88,13.51
148,SO-2024-000148,41,4,2024-01-05,2024-01-14,2024-01-09,Delivered,267416.31,13.52
149,SO-2024-000149,119,5,2024-01-05,2024-01-09,2024-01-10,Delivered,38305.47,41.6
150,SO-2024-000150,64,3,2024-01-05,2024-01-12,2024-01-07,Delivered,3696.48,49.63
151,SO-2024-000151,98,3,2024-01-05,2024-01-11,2024-01-06,Delivered,254530.97,21.81
152,SO-2024-000152,112,3,2024-01-05,2024-01-18,2024-01-08,Delivered,1501.34,85.83
153,SO-2024-000153,121,3,2024-01-05,2024-01-09,2024-01-06,Delivered,1437.2,73.1
154,SO-2024-000154,33,3,2024-01-05,2024-01-15,2024-01-06,Delivered,283454.12,68.81
155,SO-2024-000155,1,3,2024-01-05,2024-01-10,2024-01-10,Delivered,317853.01,21.32
156,SO-2024-000156,50,3,2024-01-05,2024-01-08,2024-01-06,Delivered,296806.2,53.39
157,SO-2024-000157,135,1,2024-01-05,2024-01-11,2024-01-10,Delivered,237131.15,70.66
158,SO-2024-000158,13,4,2024-01-05,2024-01-15,2024-01-10,Delivered,353711.64,85.28
159,SO-2024-000159,132,4,2024-01-05,2024-01-14,2024-01-06,Delivered,336202.05,29.68
160,SO-2024-000160,132,4,2024-01-05,2024-01-10,2024-01-06,Delivered,126412.92,94.83
161,SO-2024-000161,85,3,2024-01-05,2024-01-10,2024-01-10,Delivered,227874.01,87.87
162,SO-2024-000162,131,3,2024-01-05,2024-01-10,2024-01-10,Delivered,1065.05,32.87
163,SO-2024-000163,122,4,2024-01-05,2024-01-19,2024-01-07,Delivered,709.2,15.25
164,SO-2024-000164,29,1,2024-01-05,2024-01-11,2024-01-06,Delivered,195763.37,27.35
165,SO-2024-000165,42,5,2024-01-05,2024-01-19,2024-01-08,Delivered,880.63,14.52
166,SO-2024-000166,84,5,2024-01-05,2024-01-12,2024-01-06,Delivered,6322.65,74.17
167,SO-2024-000167,5,3,2024-01-05,2024-01-08,2024-01-08,Delivered,476605.81,94.25
168,SO-2024-000168,21,2,2024-01-05,2024-01-10,2024-01-10,Delivered,15832.31,50.75
169,SO-2024-000169,31,1,2024-01-05,2024-01-18,2024-01-06,Delivered,454501.17,50.76
170,SO-2024-000170,127,5,2024-01-05,2024-01-16,2024-01-06,Delivered,209193.83,46.06
171,SO-2024-000171,141,2,2024-01-05,2024-01-17,2024-01-06,Delivered,276295.1,54.96
172,SO-2024-000172,43,5,2024-01-05,2024-01-16,2024-01-08,Delivered,61164.56,60.44
173,SO-2024-000173,96,3,2024-01-06,2024-01-12,2024-01-09,Delivered,28933.2,74.18
174,SO-2024-000174,92,5,2024-01-06,2024-01-15,2024-01-08,Delivered,49446.59,47.4
175,SO-2024-000175,16,5,2024-01-06,2024-01-12,2024-01-07,Delivered,35653.26,49.38
176,SO-2024-000176,129,1,2024-01-06,2024-01-16,2024-01-09,Delivered,74070.57,99.73
177,SO-2024-000177,125,2,2024-01-06,2024-01-15,2024-01-11,Delivered,13430.61,67.14
178,SO-2024-000178,71,2,2024-01-06,2024-01-15,2024-01-07,Delivered,321757.16,56.88
179,SO-2024-000179,119,4,2024-01-06,2024-01-17,2024-01-09,Delivered,15107.04,87.56
180,SO-2024-000180,133,4,2024-01-06,2024-01-15,2024-01-11,Delivered,155356.19,60.8
181,SO-2024-000181,102,1,2024-01-06,2024-01-11,2024-01-10,Delivered,405.21,98.84
182,SO-2024-000182,88,5,2024-01-06,2024-01-17,2024-01-11,Delivered,161255.86,28.15
183,SO-2024-000183,51,5,2024-01-06,2024-01-18,2024-01-08,Delivered,5155.71,68.58
184,SO-2024-000184,91,2,2024-01-07,2024-01-10,2024-01-11,Delivered,17920.17,48.67
185,SO-2024-000185,50,2,2024-01-07,2024-01-16,2024-01-08,Delivered,71742.3,51.98
186,SO-2024-000186,149,4,2024-01-07,2024-01-17,2024-01-11,Delivered,234913.36,41.11
187,SO-2024-000187,41,4,2024-01-07,2024-01-19,2024-01-09,Delivered,143148.32,97.86
188,SO-2024-000188,72,5,2024-01-07,2024-01-16,2024-01-11,Delivered,3241.68,91.72
189,SO-2024-000189,52,2,2024-01-07,2024-01-16,2024-01-10,Delivered,236111.56,61.71
190,SO-2024-000190,119,4,2024-01-07,2024-01-13,2024-01-08,Delivered,14406.45,87.11
191,SO-2024-000191,18,5,2024-01-07,2024-01-11,2024-01-11,Delivered,1817.05,35.8
192,SO-2024-000192,11,1,2024-01-07,2024-01-17,2024-01-10,Delivered,1661.76,19.41
193,SO-2024-000193,139,2,2024-01-07,2024-01-17,2024-01-09,Delivered,216816.67,95.8
194,SO-2024-000194,25,1,2024-01-07,2024-01-10,2024-01-09,Delivered,10096.0,83.1
195,SO-2024-000195,90,4,2024-01-07,2024-01-12,2024-01-10,Delivered,198210.02,27.22
196,SO-2024-000196,93,5,2024-01-07,2024-01-15,2024-01-09,Delivered,377647.54,79.35
197,SO-2024-000197,10,4,2024-01-08,2024-01-12,2024-01-10,Delivered,33185.73,96.06
198,SO-2024-000198,27,1,2024-01-08,2024-01-17,2024-01-13,Delivered,22.4,53.66
199,SO-2024-000199,76,1,2024-01-08,2024-01-21,2024-01-11,Delivered,236871.51,82.61
200,SO-2024-000200,21,3,2024-01-08,2024-01-14,2024-01-13,Delivered,3280.36,75.89
201,SO-2024-000201,2,5,2024-01-08,2024-01-18,2024-01-09,Delivered,274547.91,13.58
202,SO-2024-000202,45,4,2024-01-08,2024-01-14,2024-01-10,Delivered,13988.99,42.57
203,SO-2024-000203,40,3,2024-01-08,2024-01-19,2024-01-10,Delivered,12396.77,24.04
204,SO-2024-000204,76,4,2024-01-08,2024-01-19,2024-01-09,Delivered,105808.63,81.46
205,SO-2024-000205,81,1,2024-01-08,2024-01-20,2024-01-13,Delivered,87720.3,14.81
206,SO-2024-000206,149,5,2024-01-08,2024-01-18,2024-01-11,Delivered,299619.74,42.96
207,SO-2024-000207,48,1,2024-01-08,2024-01-12,2024-01-13,Delivered,18125.13,28.92
208,SO-2024-000208,106,5,2024-01-08,2024-01-20,2024-01-11,Delivered,10649.37,22.39
209,SO-2024-000209,56,5,2024-01-08,2024-01-20,2024-01-11,Delivered,5122.45,25.72
210,SO-2024-000210,102,3,2024-01-08,2024-01-22,2024-01-10,Delivered,6112.9,69.81
211,SO-2024-000211,121,4,2024-01-08,2024-01-13,2024-01-11,Delivered,14715.24,14.57
212,SO-2024-000212,116,4,2024-01-08,2024-01-14,2024-01-09,Delivered,8063.16,92.79
213,SO-2024-000213,4,1,2024-01-08,2024-01-16,2024-01-11,Delivered,346297.55,93.14
214,SO-2024-000214,110,2,2024-01-08,2024-01-21,2024-01-09,Delivered,25835.99,67.62
215,SO-2024-000215,38,5,2024-01-08,2024-01-12,2024-01-11,Delivered,231715.25,95.29
216,SO-2024-000216,129,4,2024-01-08,2024-01-12,2024-01-12,Delivered,213365.7,16.47
217,SO-2024-000217,31,3,2024-01-08,2024-01-20,2024-01-09,Delivered,250030.03,40.9
218,SO-2024-000218,69,1,2024-01-08,2024-01-19,2024-01-10,Delivered,4301.26,76.1
219,SO-2024-000219,127,2,2024-01-08,2024-01-12,2024-01-09,Delivered,229078.29,94.66
220,SO-2024-000220,28,4,2024-01-08,2024-01-14,2024-01-09,Delivered,1584.26,82.62
221,SO-2024-000221,39,4,2024-01-08,2024-01-20,2024-01-09,Delivered,15288.84,39.22
222,SO-2024-000222,114,1,2024-01-08,2024-01-21,2024-01-11,Delivered,1918.42,85.64
223,SO-2024-000223,35,5,2024-01-08,2024-01-12,2024-01-13,Delivered,205719.02,19.59
224,SO-2024-000224,41,4,2024-01-08,2024-01-21,2024-01-09,Delivered,75085.74,93.92
225,SO-2024-000225,139,5,2024-01-09,2024-01-21,2024-01-12,Delivered,122473.55,27.27
226,SO-2024-000226,60,4,2024-01-09,2024-01-14,2024-01-13,Delivered,152811.55,74.78
227,SO-2024-000227,38,3,2024-01-09,2024-01-18,2024-01-13,Delivered,107224.12,53.99
228,SO-2024-000228,42,5,2024-01-09,2024-01-18,2024-01-11,Delivered,523.86,75.14
229,SO-2024-000229,80,1,2024-01-09,2024-01-22,2024-01-14,Delivered,1152.26,33.06
230,SO-2024-000230,25,2,2024-01-09,2024-01-15,2024-01-13,Delivered,5784.4,98.51
231,SO-2024-000231,121,2,2024-01-09,2024-01-14,2024-01-12,Delivered,5408.39,98.71
232,SO-2024-000232,66,4,2024-01-09,2024-01-15,2024-01-13,Delivered,151931.76,89.82
233,SO-2024-000233,117,4,2024-01-09,2024-01-14,2024-01-11,Delivered,12695.88,26.42
234,SO-2024-000234,117,4,2024-01-09,2024-01-23,2024-01-10,Delivered,6611.67,13.02
235,SO-2024-000235,7,2,2024-01-09,2024-01-14,2024-01-10,Delivered,4243.43,26.9
236,SO-2024-000236,80,3,2024-01-09,2024-01-17,2024-01-10,Delivered,9846.44,81.45
237,SO-2024-000237,113,1,2024-01-09,2024-01-20,2024-01-11,Delivered,1871.75,46.26
238,SO-2024-000238,121,5,2024-01-09,2024-01-20,2024-01-13,Delivered,6323.58,75.77
239,SO-2024-000239,129,1,2024-01-09,2024-01-19,2024-01-11,Delivered,66667.77,54.24
240,SO-2024-000240,115,5,2024-01-09,2024-01-13,2024-01-10,Delivered,228122.7,40.53
241,SO-2024-000241,39,5,2024-01-09,2024-01-14,2024-01-12,Delivered,9290.88,64.5
242,SO-2024-000242,74,5,2024-01-09,2024-01-13,2024-01-10,Delivered,11710.44,93.19
243,SO-2024-000243,90,4,2024-01-09,2024-01-16,2024-01-14,Delivered,211150.06,39.27
244,SO-2024-000244,22,5,2024-01-09,2024-01-15,2024-01-10,Delivered,11195.05,63.45
245,SO-2024-000245,98,1,2024-01-09,2024-01-16,2024-01-12,Delivered,381651.49,18.79
246,SO-2024-000246,45,2,2024-01-09,2024-01-20,2024-01-14,Delivered,27491.76,23.48
247,SO-2024-000247,24,2,2024-01-09,2024-01-22,2024-01-14,Delivered,729.81,30.14
248,SO-2024-000248,83,4,2024-01-09,2024-01-14,2024-01-10,Delivered,185053.68,51.18
249,SO-2024-000249,19,4,2024-01-09,2024-01-19,2024-01-10,Delivered,13406.64,55.39
250,SO-2024-000250,63,5,2024-01-09,2024-01-19,2024-01-12,Delivered,153267.4,25.18
251,SO-2024-000251,31,2,2024-01-09,2024-01-17,2024-01-14,Delivered,126826.97,60.91
252,SO-2024-000252,95,3,2024-01-09,2024-01-20,2024-01-10,Delivered,5829.57,14.45
253,SO-2024-000253,145,2,2024-01-09,2024-01-15,2024-01-10,Delivered,4368.16,60.09
254,SO-2024-000254,97,3,2024-01-09,2024-01-22,2024-01-14,Delivered,75481.61,61.74
255,SO-2024-000255,28,3,2024-01-09,2024-01-12,2024-01-14,Delivered,6290.9,49.13
256,SO-2024-000256,100,2,2024-01-10,2024-01-24,2024-01-15,Delivered,709.2,42.31
257,SO-2024-000257,119,1,2024-01-10,2024-01-24,2024-01-15,Delivered,1980.39,24.29
258,SO-2024-000258,3,3,2024-01-10,2024-01-21,2024-01-14,Delivered,2657.82,45.86
259,SO-2024-000259,36,5,2024-01-10,2024-01-24,2024-01-13,Delivered,25344.24,16.83
260,SO-2024-000260,147,5,2024-01-10,2024-01-20,2024-01-12,Delivered,100015.85,30.32
261,SO-2024-000261,54,4,2024-01-10,2024-01-14,2024-01-14,Delivered,240555.33,24.55
262,SO-2024-000262,21,5,2024-01-10,2024-01-19,2024-01-13,Delivered,8213.23,47.07
263,SO-2024-000263,141,5,2024-01-10,2024-01-21,2024-01-15,Delivered,315123.51,39.96
264,SO-2024-000264,127,2,2024-01-10,2024-01-15,2024-01-14,Delivered,76189.54,75.84
265,SO-2024-000265,56,4,2024-01-10,2024-01-20,2024-01-13,Delivered,1903.17,98.58
266,SO-2024-000266,49,3,2024-01-10,2024-01-13,2024-01-14,Delivered,263391.95,35.64
267,SO-2024-000267,140,2,2024-01-10,2024-01-18,2024-01-14,Delivered,3385.39,45.08
268,SO-2024-000268,67,4,2024-01-10,2024-01-15,2024-01-11,Delivered,205678.45,37.2
269,SO-2024-000269,24,4,2024-01-10,2024-01-15,2024-01-12,Delivered,7777.34,28.08
270,SO-2024-000270,33,4,2024-01-10,2024-01-20,2024-01-13,Delivered,82073.05,74.21
271,SO-2024-000271,32,1,2024-01-10,2024-01-14,2024-01-12,Delivered,22723.2,64.36
272,SO-2024-000272,126,5,2024-01-10,2024-01-21,2024-01-12,Delivered,1993.36,17.88
273,SO-2024-000273,26,1,2024-01-10,2024-01-14,2024-01-13,Delivered,61286.36,58.23
274,SO-2024-000274,136,1,2024-01-10,2024-01-14,2024-01-11,Delivered,138422.1,99.61
275,SO-2024-000275,54,3,2024-01-10,2024-01-15,2024-01-13,Delivered,115616.89,32.33
276,SO-2024-000276,53,2,2024-01-10,2024-01-23,2024-01-12,Delivered,218457.86,17.34
277,SO-2024-000277,61,5,2024-01-10,2024-01-19,2024-01-12,Delivered,149523.83,19.57
278,SO-2024-000278,87,1,2024-01-10,2024-01-24,2024-01-11,Delivered,147571.96,37.12
